model,mean_concept_jaccard,mean_triple_f1,n_slide_evals
llava-hf__llava-onevision-qwen2-7b-ov-hf,0.1547500842935041,0.014324082363473588,1117
OpenGVLab__InternVL3-14B,0.17874970448829,0.04371829304685167,1117
Qwen__Qwen2-VL-7B-Instruct,0.1511414826097011,0.014622500746045953,1117
Qwen__Qwen3-VL-4B-Instruct,0.05645116596325192,0.042196359295732615,1117
