model,lecture,lecture_index,concepts_valid,concepts_total,triples_valid,triples_total
Qwen__Qwen3-VL-4B-Instruct,Lecture 13,13,49,50,46,50
Qwen__Qwen3-VL-4B-Instruct,Lecture 14,14,60,60,60,60
Qwen__Qwen3-VL-4B-Instruct,Lecture 15,15,30,30,30,30
Qwen__Qwen3-VL-4B-Instruct,Lecture 16,16,55,55,54,55
Qwen__Qwen3-VL-4B-Instruct,Lecture 17,17,55,55,54,55
Qwen__Qwen3-VL-4B-Instruct,Lecture 18,18,55,55,55,55
Qwen__Qwen3-VL-4B-Instruct,Lecture 19,19,55,55,55,55
Qwen__Qwen3-VL-4B-Instruct,Lecture 20,20,54,55,55,55
Qwen__Qwen3-VL-4B-Instruct,Lecture 21,21,43,43,43,43
Qwen__Qwen3-VL-4B-Instruct,Lecture 22,22,45,45,45,45
Qwen__Qwen3-VL-4B-Instruct,Lecture 23,23,50,50,49,50
