lecture,lecture_index,model_a,model_b,avg_concept_jaccard,avg_triple_f1,n_slides
Lecture 8,8,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.02812846068660022,0.0,43
Lecture 8,8,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,43
Lecture 9,9,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.11412151067323482,0.0,29
Lecture 9,9,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.06465517241379311,0.07471264367816091,29
Lecture 9,9,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.06403940886699508,0.0,29
Lecture 9,9,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.17803776683087025,0.0,29
Lecture 9,9,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.13263546798029557,0.0,29
Lecture 9,9,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.05665024630541872,0.0,29
Lecture 10,10,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.014285714285714285,0.0,50
Lecture 10,10,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,50
Lecture 10,10,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.024,0.0,50
Lecture 10,10,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.01709090909090909,0.0,50
Lecture 10,10,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.06492857142857143,0.0,50
Lecture 10,10,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.023333333333333334,0.0,50
Lecture 11,11,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.07453497023809524,0.018229166666666664,64
Lecture 11,11,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.03841145833333333,0.04427083333333333,64
Lecture 11,11,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.029296875,0.0,64
Lecture 11,11,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.1306525072150072,0.010416666666666666,64
Lecture 11,11,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.05795116341991343,0.03125,64
Lecture 11,11,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.032204861111111115,0.0,64
Lecture 12,12,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.04333333333333333,0.0,50
Lecture 12,12,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.02914285714285714,0.018000000000000002,50
Lecture 12,12,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.025,0.0,50
Lecture 12,12,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.07531740481740481,0.0,50
